#,Name,CID,n_pi,K,Aut,K_over_Aut,PEF,log10PEF,Bay,Meth,K_source,Aut_source,PEF_source
1,Benzene,241,6,2,12,0.17,0.001,−3.00,N,N,compute_k_aut_v2 ✓,compute_k_aut_v2 ✓,Assigned (minimal PAH)
2,Naphthalene,931,10,3,4,0.75,0.001,−3.00,N,N,✓,✓,N&L 1992
3,Acenaphthylene,9161,12,3,2,1.50,0.001,−3.00,N,N,✓,✓,N&L 1992
4,Fluoranthene,9152,16,6,2,3.00,0.001,−3.00,N,N,✓,✓,N&L 1992
5,Anthracene,8418,14,4,4,1.00,0.01,−2.00,N,N,✓,✓,N&L 1992
6,Phenanthrene,995,14,5,2,2.50,0.001,−3.00,Y,N,✓,✓,N&L 1992
7,Pyrene,31423,16,6,4,1.50,0.001,−3.00,N,N,✓,✓,N&L 1992
8,Triphenylene,10703,18,9,6,1.50,0.001,−3.00,N,N,✓,✓,Assigned (IARC Group 3)
9,Chrysene,11714,18,8,2,4.00,0.01,−2.00,Y,N,✓,✓,N&L 1992
10,Benz[a]anthracene,5954,18,7,1,7.00,0.1,−1.00,Y,N,✓,✓,N&L 1992
11,Benzo[c]phenanthrene,9136,18,8,2,4.00,0.023,−1.64,Y¹,N,PubChem CID 9136 + compute_k_aut_v2 ✓,compute_k_aut_v2 ✓,Durant 1996 MEF²
12,Benzo[a]pyrene,2336,20,9,1,9.00,1.0,0.00,Y,N,✓,✓,Reference compound
13,3-Methylcholanthrene,11367,20,7,1,7.00,1.833,+0.26,Y,Y,✓ (methyl excluded),✓,OEHHA CSF 22 / BaP CSF 12³
14,5-Methylchrysene,19427,18,8,2,4.00,1.0,0.00,Y,Y,PubChem CID 19427 + methyl excluded,PubChem + pynauty ✓,OEHHA CSF 12 / BaP CSF 12
15,DMBA,6001,18,7,1,7.00,20.83,+1.32,Y,Y,K = BaA (methyl excluded)⁴,1 (asymmetric),OEHHA CSF 250 / BaP CSF 12³
16,"Dibenz[a,h]anthracene",5921,22,10,2,5.00,5.0,+0.70,Y,N,✓,✓,N&L 1992
17,"Dibenzo[a,l]pyrene",9119,24,16,1,16.00,10.0,+1.00,Y,N,PubChem name-matched CID,✓,Collins 1998
18,Benzo[b]fluoranthene,9153,20,10,1,10.00,0.1,−1.00,Y,N,✓,✓,N&L 1992
19,Benzo[k]fluoranthene,9158,20,9,2,4.50,0.1,−1.00,Y,N,✓,✓ (graph C₂),N&L 1992
20,Perylene,9142,20,9,4,2.25,0.001,−3.00,N,N,✓,✓,Assigned (IARC Group 3)
21,Benzo[ghi]perylene,9117,22,14,2,7.00,0.01,−2.00,N,N,✓,✓,N&L 1992
22,Coronene,13097,24,20,12,1.67,0.001,−3.00,N,N,✓,✓,Assigned (IARC Group 3)
23,"Indeno[1,2,3-cd]pyrene",9131,22,12,1,12.00,0.1,−1.00,Y,N,✓,✓,N&L 1992
24,"Dibenzo[a,e]pyrene",9126,24,17,1,17.00,1.0,0.00,Y,N,PubChem CID 9126 + compute_k_aut_v2 ✓,pynauty ✓,Collins 1998
25,"Dibenzo[a,h]pyrene",9108,24,13,2,6.50,10.0,+1.00,Y,N,PubChem name-matched CID,compute_k_aut_v2,Collins 1998
26,"Dibenzo[a,i]pyrene",9106,24,14,2,7.00,10.0,+1.00,Y,N,PubChem name-matched CID,compute_k_aut_v2,Collins 1998
27,Benzo[e]pyrene,9128,20,11,2,5.50,0.001,−3.00,N,N,PubChem CID 9128 + compute_k_aut_v2 ✓,compute_k_aut_v2 ✓,Assigned (IARC Group 3)⁵
