#,Name,CID,n_pi,K,Aut,K_over_Aut,PEF,log10PEF,Bay,Methylated,PEF_source
1,Benzene,241,6,2,12,0.17,0.001,-3.00,N,N,Tier4: no carcin. evidence; assigned 0.001
2,Naphthalene,931,10,3,4,0.75,0.001,-3.00,N,N,N&L 1992 Table 1
3,Acenaphthylene,9161,12,3,2,1.50,0.001,-3.00,N,N,N&L 1992 Table 1
4,Fluoranthene,9154,16,6,2,3.00,0.001,-3.00,N,N,N&L 1992 Table 1
5,Anthracene,8418,14,4,4,1.00,0.010,-2.00,N,N,N&L 1992 Table 1
6,Phenanthrene,995,14,5,2,2.50,0.001,-3.00,Y,N,N&L 1992 Table 1
7,Pyrene,31423,16,6,4,1.50,0.001,-3.00,N,N,N&L 1992 Table 1
8,Triphenylene,9170,18,9,6,1.50,0.001,-3.00,N,N,Tier4: IARC Group 3; assigned 0.001
9,Chrysene,9171,18,8,2,4.00,0.010,-2.00,Y,N,N&L 1992 Table 1
10,Benz[a]anthracene,5954,18,7,1,7.00,0.100,-1.00,Y,N,N&L 1992 Table 1
11,Benzo[c]phenanthrene,9136,18,8,2,4.00,0.023,-1.64,Y,N,Durant 1996 MEF (proxy; no IARC PEF)
12,Benzo[a]pyrene,2336,20,9,1,9.00,1.000,+0.00,Y,N,N&L 1992 reference compound (PEF≡1)
13,3-Methylcholanthrene,1674,20,7,1,7.00,1.830,+0.26,Y,Y,OEHHA 2011 CSF/BaP_CSF (21.96/12)
14,5-Methylchrysene,19427,18,8,2,4.00,1.000,+0.00,Y,Y,OEHHA 2011 CSF/BaP_CSF (12/12)
15,DMBA,6001,18,7,1,7.00,20.830,+1.32,Y,Y,OEHHA 2011 CSF/BaP_CSF (249.96/12)
16,"Dibenz[a,h]anthracene",5889,22,10,2,5.00,5.000,+0.70,Y,N,N&L 1992 Table 1
17,"Dibenzo[a,l]pyrene",9119,24,16,1,16.00,10.000,+1.00,Y,N,Collins et al. 1998 Table 2
18,Benzo[b]fluoranthene,9153,20,10,1,10.00,0.100,-1.00,Y,N,N&L 1992 Table 1
19,Benzo[k]fluoranthene,9158,20,9,2,4.50,0.100,-1.00,Y,N,N&L 1992 Table 1
20,Perylene,9142,20,9,4,2.25,0.001,-3.00,N,N,Tier4: IARC Group 3; assigned 0.001
21,Benzo[ghi]perylene,9117,22,14,2,7.00,0.010,-2.00,N,N,N&L 1992 Table 1
22,Coronene,9115,24,20,12,1.67,0.001,-3.00,N,N,Tier4: not classifiable; assigned 0.001
23,"Indeno[1,2,3-cd]pyrene",9131,22,12,1,12.00,0.100,-1.00,Y,N,N&L 1992 Table 1
24,"Dibenzo[a,e]pyrene",9126,24,17,1,17.00,1.000,+0.00,Y,N,Collins et al. 1998 Table 2
25,"Dibenzo[a,h]pyrene",9108,24,13,2,6.50,10.000,+1.00,Y,N,Collins et al. 1998 Table 2
26,"Dibenzo[a,i]pyrene",9106,24,14,2,7.00,10.000,+1.00,Y,N,Collins 1998
27,Benzo[e]pyrene,9128,20,11,2,5.50,0.001,-3.00,N,N,Tier4: IARC Group 3; assigned 0.001
