Name,K_over_Aut,Observed_log10PEF,LOO_predicted_log10PEF,Residual,Methylated,True_class,Predicted_class
Benzene,0.17,-3.00,-2.58,-0.42,N,non-carcinogen,non-carcinogen
Naphthalene,0.75,-3.00,-2.43,-0.57,N,non-carcinogen,non-carcinogen
Acenaphthylene,1.50,-3.00,-2.25,-0.75,N,non-carcinogen,non-carcinogen
Fluoranthene,3.00,-3.00,-1.89,-1.11,N,non-carcinogen,non-carcinogen
Anthracene,1.00,-2.00,-2.46,+0.46,N,non-carcinogen,non-carcinogen
Phenanthrene,2.50,-3.00,-2.01,-0.99,N,non-carcinogen,non-carcinogen
Pyrene,1.50,-3.00,-2.25,-0.75,N,non-carcinogen,non-carcinogen
Triphenylene,1.50,-3.00,-2.25,-0.75,N,non-carcinogen,non-carcinogen
Chrysene,4.00,-2.00,-1.69,-0.31,N,non-carcinogen,non-carcinogen
Benz[a]anthracene,7.00,-1.00,-0.99,-0.01,N,carcinogen,carcinogen
Benzo[c]phenanthrene,4.00,-1.64,-1.71,+0.07,N,non-carcinogen,non-carcinogen
Benzo[a]pyrene,9.00,+0.00,-0.54,+0.54,N,carcinogen,carcinogen
3-Methylcholanthrene,7.00,+0.26,-1.04,+1.30,Y,carcinogen,non-carcinogen
5-Methylchrysene,4.00,+0.00,-1.78,+1.78,Y,carcinogen,non-carcinogen
DMBA,7.00,+1.32,-1.09,+2.41,Y,carcinogen,non-carcinogen
"Dibenz[a,h]anthracene",5.00,+0.70,-1.55,+2.25,N,carcinogen,non-carcinogen
"Dibenzo[a,l]pyrene",16.00,+1.00,+1.22,-0.22,N,carcinogen,carcinogen
Benzo[b]fluoranthene,10.00,-1.00,-0.21,-0.79,N,carcinogen,carcinogen
Benzo[k]fluoranthene,4.50,-1.00,-1.61,+0.61,N,carcinogen,non-carcinogen
Perylene,2.25,-3.00,-2.07,-0.93,N,non-carcinogen,non-carcinogen
Benzo[ghi]perylene,7.00,-2.00,-0.94,-1.06,N,non-carcinogen,carcinogen
Coronene,1.67,-3.00,-2.21,-0.79,N,non-carcinogen,non-carcinogen
"Indeno[1,2,3-cd]pyrene",12.00,-1.00,+0.38,-1.38,N,carcinogen,carcinogen
"Dibenzo[a,e]pyrene",17.00,+0.00,+2.01,-2.01,N,carcinogen,carcinogen
"Dibenzo[a,h]pyrene",6.50,+1.00,-1.19,+2.19,N,carcinogen,non-carcinogen
"Dibenzo[a,i]pyrene",7.00,+1.00,-1.07,+2.07,N,carcinogen,non-carcinogen
Benzo[e]pyrene,5.50,-3.00,-1.28,-1.72,N,non-carcinogen,non-carcinogen
