name,CID,log10PEF,K,Aut,K_over_Aut,Bay,K_Aut_Bay,N_vertices,N_edges,N_rings,Randic_1chi,Wiener_W,Hosoya_Z,Balaban_J,Zagreb_M1,Zagreb_M2,lambda1,XLogP3,MW
Benzene,241,-3.0,2,12,0.16666666666666666,0,0.0,6,6,1,3.0,27,18,2.0,24,24,2.0000000000000004,2.1,78.11
Naphthalene,931,-3.0,3,4,0.75,0,0.0,10,11,2,4.966326495188786,109,148,1.9253677344386608,50,57,2.3027756377319952,3.3,128.17
Acenaphthylene,9161,-3.0,3,2,1.5,0,0.0,12,14,3,5.949489742783179,166,466,1.844710232813927,68,83,2.470837415547159,3.7,152.19
Fluoranthene,9154,-3.0,6,2,3.0,0,0.0,16,19,4,7.949489742783179,364,3934,1.677044831394129,94,118,2.5687738494877923,5.2,202.25
Anthracene,8418,-2.0,4,4,1.0,0,0.0,14,16,3,6.932652990377572,279,1208,1.6824884302593337,76,90,2.414213562373096,4.4,178.23
Phenanthrene,995,-3.0,5,2,2.5,1,2.5,14,16,3,6.949489742783179,271,1233,1.7402124582772953,76,91,2.434763802738868,4.5,178.23
Pyrene,31423,-3.0,6,4,1.5,0,0.0,16,19,4,7.932652990377571,362,3888,1.6706371262404471,94,117,2.532088886237957,4.9,202.25
Triphenylene,9170,-3.0,9,6,1.5,0,0.0,18,21,4,8.949489742783179,513,10373,1.6420082464871608,102,126,2.532088886237953,4.9,228.3
Chrysene,9171,-2.0,8,2,4.0,1,4.0,18,21,4,8.932652990377571,529,10244,1.587289543346612,102,125,2.5069955872174257,5.7,228.3
Benz[a]anthracene,5954,-1.0,7,1,7.0,1,7.0,18,21,4,8.915816237971963,553,10074,1.5121772087535355,102,124,2.4846490479917747,5.8,228.3
Benzo[c]phenanthrene,9136,-1.64,8,2,4.0,1,4.0,18,21,4,8.932652990377571,529,10244,1.5872895433466119,102,125,2.5069955872174265,5.7,228.3
Benzo[a]pyrene,2336,0.0,9,1,9.0,1,9.0,20,24,5,9.915816237971965,680,32246,1.4872267841534483,120,151,2.574747599760903,6.0,252.3
3-Methylcholanthrene,1674,0.26,7,1,7.0,1,7.0,20,24,5,9.932652990377573,632,32677,1.5946628928045363,120,152,2.5830232449978476,6.4,268.4
5-Methylchrysene,19427,0.0,8,2,4.0,1,4.0,18,21,4,8.932652990377571,545,10269,1.5384259116685193,102,125,2.4990459672588416,6.0,242.3
DMBA,6001,1.32,7,1,7.0,1,7.0,18,21,4,8.915816237971963,553,10074,1.5121772087535352,102,124,2.484649047991776,5.8,256.3
"Dibenz[a,h]anthracene",5889,0.7,10,2,5.0,1,5.0,22,26,5,10.88214273316075,979,82314,1.335275506712243,128,157,2.5145694909101906,6.5,278.3
"Dibenzo[a,l]pyrene",9119,1.0,16,1,16.0,1,16.0,24,29,6,11.915816237971963,1066,270928,1.4326608542912136,146,186,2.627458656749692,7.2,302.4
Benzo[b]fluoranthene,9153,-1.0,10,1,10.0,1,10.0,20,24,5,9.932652990377571,676,32677,1.5043253918544541,120,152,2.606624393767334,6.4,252.3
Benzo[k]fluoranthene,9158,-1.0,9,2,4.5,1,4.5,20,24,5,9.915816237971965,698,32174,1.4530657021253364,120,151,2.5916622928037785,6.4,252.3
Perylene,9142,-3.0,9,4,2.25,0,0.0,20,24,5,9.932652990377573,654,32604,1.5450738814519598,120,152,2.588363990685104,5.8,252.3
Benzo[ghi]perylene,9117,-2.0,14,2,7.0,0,0.0,22,27,6,10.915816237971967,815,103774,1.4748519531131266,138,178,2.6385735788784657,6.6,276.3
Coronene,9115,-3.0,20,12,1.6666666666666667,0,0.0,24,30,7,11.898979485566361,1002,330092,1.408840656494787,156,204,2.6751308705666474,7.2,300.4
"Indeno[1,2,3-cd]pyrene",9131,-1.0,12,1,12.0,1,12.0,22,27,6,10.915816237971967,845,103412,1.4284892824688387,138,178,2.6463778054084965,7.0,276.3
"Dibenzo[a,e]pyrene",9126,0.0,17,1,17.0,1,17.0,24,29,6,11.915816237971965,1082,271798,1.4108765471299185,146,186,2.6228991964936,7.3,302.4
"Dibenzo[a,h]pyrene",9108,1.0,13,2,6.5,1,6.5,24,29,6,11.898979485566358,1142,267426,1.3359087083564074,146,185,2.6034620704618434,7.0,302.4
"Dibenzo[a,i]pyrene",9106,1.0,14,2,7.0,1,7.0,24,29,6,11.89897948556636,1142,267476,1.336342460681186,146,185,2.60368504139089,7.3,302.4
Benzo[e]pyrene,9128,-3.0,11,2,5.5,0,0.0,20,24,5,9.932652990377571,652,32748,1.5527670579821904,120,152,2.593538550449656,6.4,252.3
