predictor,rho,raw_p,bonferroni_p,bh_q,survives_bonf_0p05,survives_bh_0p05
K,0.4201327109141088,0.029118422785835842,0.4950131873592093,0.03093832420995058,False,True
Aut,-0.6876943807327216,7.3821298647156e-05,0.001254962077001652,0.0002509924154003304,True,True
K_over_Aut,0.7447507966567791,8.379352183156635e-06,0.0001424489871136628,4.7482995704554266e-05,True,True
Bay,0.8022827827872807,4.831975791007109e-07,8.214358844712086e-06,4.107179422356043e-06,True,True
K_Aut_Bay,0.8336568562284715,6.68136556954403e-08,1.1358321468224852e-06,1.1358321468224852e-06,True,True
N_vertices,0.5754315004803474,0.0016877254808889298,0.028691333175111806,0.003187925908345756,True,True
N_edges,0.545442468721561,0.003255507508709761,0.055343627648065934,0.005031238877096903,False,True
N_rings,0.47025580870041767,0.013313067123614757,0.22632214110145088,0.015088142740096726,False,True
Randic_1chi,0.510898936256294,0.006464139471575564,0.10989037101678459,0.009157530918065383,False,True
Wiener_W,0.6451928776142138,0.0002793988916903378,0.004749781158735743,0.0006785401655336776,True,True
Hosoya_Z,0.48967356102623977,0.00952766719845384,0.16197034237371527,0.011842711121271629,False,True
Balaban_J,-0.6802622257937277,9.462070124340945e-05,0.0016085519211379606,0.0002680919868563268,True,True
Zagreb_M1,0.545442468721561,0.003255507508709761,0.055343627648065934,0.005031238877096903,False,True
Zagreb_M2,0.48835269003851045,0.009752820923400166,0.1657979556978028,0.011842711121271629,False,True
lambda1,0.2804038379889118,0.156575563955937,1.0,0.156575563955937,False,False
XLogP3,0.6251180566073813,0.0004898196105802363,0.008326933379864017,0.0010408666724830021,True,True
MW,0.6901505828955332,6.789996953660503e-05,0.0011542994821222856,0.0002509924154003304,True,True
